pixel_mean,pixel_std,pixel_min,pixel_max,anomaly_score,img_height,img_width,img_channels,timestamp,score_map_max,score_map_mean,score_map_min,score_map_std,is_anomaly,threshold,dataset_type,batch_idx
0.38121423,1.6052953,-1.6041614,2.64,6.2184405,224,224,3,2026-05-06T04:03:57.569971,5.583225,1.5285273,6.3645695e-07,1.032867,1,13.0,test,0
0.38223818,1.5974025,-1.6041614,2.64,7.3194203,224,224,3,2026-05-06T04:03:57.569971,7.03423,1.3959428,6.3645695e-07,0.89457846,1,13.0,test,0
0.4462871,1.6016098,-1.6041614,2.64,8.457566,224,224,3,2026-05-06T04:03:57.620698,8.292982,1.7032487,6.3645695e-07,0.9951566,1,13.0,test,1
0.4021193,1.6051484,-1.5699118,2.64,6.0276546,224,224,3,2026-05-06T04:03:57.620698,5.629224,1.5637379,6.3645695e-07,0.9590526,1,13.0,test,1
0.39979774,1.6033684,-1.5699118,2.64,9.945103,224,224,3,2026-05-06T04:03:57.673792,9.460395,1.7041823,6.3645695e-07,1.1185324,1,13.0,test,2
0.37110826,1.6140003,-1.6212862,2.64,5.7759156,224,224,3,2026-05-06T04:03:57.673792,5.5357327,1.2070049,6.3645695e-07,0.80702674,1,13.0,test,2
0.42638758,1.6023582,-1.6041614,2.64,4.900096,224,224,3,2026-05-06T04:03:57.727252,4.6692038,1.2869852,6.3645695e-07,0.77655697,1,13.0,test,3
0.41131845,1.5842292,-1.5870366,2.64,6.998652,224,224,3,2026-05-06T04:03:57.727252,6.562469,1.5543478,6.3645695e-07,1.1432577,1,13.0,test,3
0.41055876,1.6091332,-1.6212862,2.64,5.3326783,224,224,3,2026-05-06T04:03:57.781966,5.0806575,1.4079903,6.3645695e-07,0.7830959,1,13.0,test,4
0.44518602,1.5938913,-1.5870366,2.64,6.145933,224,224,3,2026-05-06T04:03:57.781966,5.9135814,1.447281,6.3645695e-07,0.94949174,1,13.0,test,4
0.39563015,1.6120437,-1.6041614,2.64,7.1259165,224,224,3,2026-05-06T04:03:57.838135,6.771144,1.5853865,6.3645695e-07,1.018171,1,13.0,test,5
0.42424613,1.587649,-1.6041614,2.64,5.7742705,224,224,3,2026-05-06T04:03:57.838135,5.313426,1.3918082,6.3645695e-07,0.8245397,1,13.0,test,5
0.41553205,1.6007662,-1.6041614,2.64,7.430146,224,224,3,2026-05-06T04:03:57.894380,7.25457,1.5640957,6.3645695e-07,1.0229799,1,13.0,test,6
0.4217985,1.5910335,-1.5870366,2.64,6.943169,224,224,3,2026-05-06T04:03:57.894380,6.418847,1.3710283,6.3645695e-07,0.83351636,1,13.0,test,6
0.40216988,1.6003752,-1.6041614,2.64,4.7513385,224,224,3,2026-05-06T04:03:57.952735,4.357529,1.2839123,6.3645695e-07,0.7902008,1,13.0,test,7
0.38731512,1.614104,-1.6041614,2.64,6.9633813,224,224,3,2026-05-06T04:03:57.952735,6.0976605,1.4296883,6.3645695e-07,0.9506607,1,13.0,test,7
0.38637593,1.5999067,-1.6041614,2.64,5.931281,224,224,3,2026-05-06T04:03:58.006769,5.703253,1.4684662,6.3645695e-07,0.95676273,1,13.0,test,8
0.3946779,1.5970376,-1.5870366,2.64,9.034591,224,224,3,2026-05-06T04:03:58.006769,8.463724,1.5906299,6.3645695e-07,1.1731203,1,13.0,test,8
0.39686614,1.6061463,-1.6041614,2.64,7.367652,224,224,3,2026-05-06T04:03:58.060114,7.060293,1.3444453,6.3645695e-07,0.8973004,1,13.0,test,9
0.44932067,1.5948738,-1.6041614,2.64,10.58162,224,224,3,2026-05-06T04:03:58.060114,9.488857,1.6203752,6.3645695e-07,1.0202659,1,13.0,test,9
0.39099997,1.6106373,-1.6212862,2.64,5.378486,224,224,3,2026-05-06T04:03:58.114870,5.050852,1.3275557,6.3645695e-07,0.8252227,1,13.0,test,10
0.4152396,1.6045625,-1.6041614,2.64,5.5847073,224,224,3,2026-05-06T04:03:58.114870,5.3823957,1.2278591,6.3645695e-07,0.7859671,1,13.0,test,10
0.36043507,1.6112198,-1.6212862,2.64,6.4582233,224,224,3,2026-05-06T04:03:58.166585,6.1775,1.5514023,6.3645695e-07,1.0661937,1,13.0,test,11
0.43888304,1.5899147,-1.6041614,2.64,7.4130588,224,224,3,2026-05-06T04:03:58.166585,6.824431,1.7339662,6.3645695e-07,1.0421944,1,13.0,test,11
0.40903008,1.5804054,-1.5870366,2.64,7.593059,224,224,3,2026-05-06T04:03:58.220153,7.2682548,1.7300171,6.3645695e-07,1.1911377,1,13.0,test,12
0.37818757,1.6064335,-1.6212862,2.64,6.776921,224,224,3,2026-05-06T04:03:58.220153,6.4084954,1.4123018,6.3645695e-07,0.9594493,1,13.0,test,12
0.37086752,1.6085268,-1.6212862,2.64,4.6055727,224,224,3,2026-05-06T04:03:58.272669,4.383599,1.2979794,6.3645695e-07,0.81773525,1,13.0,test,13
0.36747664,1.6157383,-1.6041614,2.64,6.268708,224,224,3,2026-05-06T04:03:58.272669,5.5921273,1.3539603,6.3645695e-07,0.9306728,1,13.0,test,13
0.3929864,1.5940168,-1.6041614,2.64,6.998349,224,224,3,2026-05-06T04:03:58.326733,6.2334437,1.3997406,6.3645695e-07,0.9001075,1,13.0,test,14
0.3637808,1.6070436,-1.5870366,2.64,6.3003983,224,224,3,2026-05-06T04:03:58.326733,5.743976,1.5577503,6.3645695e-07,1.0384856,1,13.0,test,14
0.4075578,1.6010219,-1.5870366,2.64,6.3920083,224,224,3,2026-05-06T04:03:58.378772,5.9573236,1.3998947,6.3645695e-07,0.91993195,1,13.0,test,15
0.35614887,1.6218419,-1.6041614,2.64,6.396319,224,224,3,2026-05-06T04:03:58.378772,5.9395714,1.3321943,6.3645695e-07,0.8983203,1,13.0,test,15
0.38262266,1.6159022,-1.6041614,2.64,6.3795075,224,224,3,2026-05-06T04:03:58.434028,5.8572264,1.3458349,6.3645695e-07,0.91485816,1,13.0,test,16
0.39575735,1.6075447,-1.6041614,2.64,6.9918203,224,224,3,2026-05-06T04:03:58.434028,6.6157846,1.3155406,6.3645695e-07,0.9135414,1,13.0,test,16
0.4237168,1.6026881,-1.6041614,2.64,6.1377025,224,224,3,2026-05-06T04:03:58.487080,5.7495527,1.4208536,6.3645695e-07,0.869805,1,13.0,test,17
0.43163785,1.6037223,-1.5870366,2.64,5.5766945,224,224,3,2026-05-06T04:03:58.487080,5.3581624,1.3382958,6.3645695e-07,0.8319357,1,13.0,test,17
0.43919954,1.5993288,-1.6041614,2.64,6.8274612,224,224,3,2026-05-06T04:03:58.540128,6.222534,1.5007577,6.3645695e-07,0.9706803,1,13.0,test,18
0.3567352,1.6123761,-1.6041614,2.64,8.494088,224,224,3,2026-05-06T04:03:58.540128,8.114117,1.3425847,6.3645695e-07,0.89002055,1,13.0,test,18
0.36810443,1.6051651,-1.6212862,2.64,7.7922444,224,224,3,2026-05-06T04:03:58.592261,7.2401013,1.3693991,6.3645695e-07,0.8945921,1,13.0,test,19
0.41750404,1.5918368,-1.5870366,2.64,6.557063,224,224,3,2026-05-06T04:03:58.592261,6.342026,1.595982,6.3645695e-07,1.1306273,1,13.0,test,19
0.41527224,1.606985,-1.6212862,2.64,6.2870536,224,224,3,2026-05-06T04:03:58.646528,6.2238193,1.4267111,6.3645695e-07,0.80251867,1,13.0,test,20
0.4195373,1.5989709,-1.5870366,2.64,6.536305,224,224,3,2026-05-06T04:03:58.646528,5.9732676,1.2345954,6.3645695e-07,0.8122452,1,13.0,test,20
0.3902914,1.6105124,-1.6041614,2.64,8.027216,224,224,3,2026-05-06T04:03:58.699566,7.4001904,1.3386956,6.3645695e-07,0.9604095,1,13.0,test,21
0.42332736,1.600578,-1.6041614,2.64,7.708801,224,224,3,2026-05-06T04:03:58.699566,7.2311773,1.4021473,6.3645695e-07,0.8751612,1,13.0,test,21
0.36423612,1.604372,-1.6212862,2.64,6.674326,224,224,3,2026-05-06T04:03:58.752863,6.079248,1.4225485,6.3645695e-07,0.8762473,1,13.0,test,22
0.42163777,1.6087521,-1.6212862,2.64,6.0987296,224,224,3,2026-05-06T04:03:58.752863,5.8308506,1.4075787,6.3645695e-07,0.82247925,1,13.0,test,22
0.4055737,1.6003468,-1.6041614,2.64,7.9137816,224,224,3,2026-05-06T04:03:58.806933,7.4964476,1.8533779,6.3645695e-07,1.1179879,1,13.0,test,23
0.40237117,1.6028492,-1.6041614,2.64,6.8769,224,224,3,2026-05-06T04:03:58.806933,6.491844,1.4549437,6.3645695e-07,0.92776746,1,13.0,test,23
0.38752797,1.6041441,-1.6041614,2.64,6.7842684,224,224,3,2026-05-06T04:03:58.865092,6.297079,1.3057456,6.3645695e-07,0.89847916,1,13.0,test,24
0.38403887,1.5950495,-1.6212862,2.64,8.181615,224,224,3,2026-05-06T04:03:58.865092,7.303367,1.4685222,6.3645695e-07,0.99766797,1,13.0,test,24
0.368745,1.618741,-1.6212862,2.64,7.905336,224,224,3,2026-05-06T04:03:58.918373,7.2334137,1.7542261,6.3645695e-07,1.2807639,1,13.0,test,25
0.36765748,1.6120939,-1.6212862,2.64,6.675684,224,224,3,2026-05-06T04:03:58.918373,6.08963,1.2250415,6.3645695e-07,0.80801773,1,13.0,test,25
0.3795943,1.6049049,-1.6041614,2.64,6.8660364,224,224,3,2026-05-06T04:03:58.972722,6.3234344,1.3073807,6.3645695e-07,0.8681594,1,13.0,test,26
0.36807388,1.619792,-1.6041614,2.64,7.074444,224,224,3,2026-05-06T04:03:58.972722,6.774714,1.575111,6.3645695e-07,1.0955923,1,13.0,test,26
0.4294767,1.57322,-1.5699118,2.64,7.5866933,224,224,3,2026-05-06T04:03:59.029440,7.410937,1.4487234,6.3645695e-07,0.97094136,1,13.0,test,27
0.43566832,1.5975789,-1.6041614,2.64,7.480259,224,224,3,2026-05-06T04:03:59.029440,6.7349834,1.4841963,6.3645695e-07,0.9030358,1,13.0,test,27
0.3919599,1.6076498,-1.6212862,2.64,7.9592714,224,224,3,2026-05-06T04:03:59.085055,7.392561,1.5806533,6.3645695e-07,0.98412526,1,13.0,test,28
0.42279598,1.5891196,-1.5870366,2.64,6.7292285,224,224,3,2026-05-06T04:03:59.085055,6.4372873,1.5006835,6.3645695e-07,0.9096269,1,13.0,test,28
0.39460835,1.5951715,-1.6041614,2.64,5.937103,224,224,3,2026-05-06T04:03:59.145138,5.7551165,1.5029675,6.3645695e-07,0.9945259,1,13.0,test,29
0.38407004,1.6126693,-1.6212862,2.64,5.6947684,224,224,3,2026-05-06T04:03:59.145138,5.193694,1.3668642,6.3645695e-07,0.9467036,1,13.0,test,29
0.3954887,1.6010456,-1.6041614,2.64,5.9494934,224,224,3,2026-05-06T04:03:59.201372,5.556975,1.2818168,6.3645695e-07,0.84104747,1,13.0,test,30
0.39477876,1.6070251,-1.6041614,2.64,6.463946,224,224,3,2026-05-06T04:03:59.201372,6.2927322,1.727917,6.3645695e-07,1.0722774,1,13.0,test,30
0.39870754,1.6072884,-1.6212862,2.64,6.504478,224,224,3,2026-05-06T04:03:59.254896,6.044138,1.302557,6.3645695e-07,0.8145968,1,13.0,test,31
0.38567114,1.6075629,-1.6041614,2.64,6.058334,224,224,3,2026-05-06T04:03:59.254896,5.791709,1.3746876,6.3645695e-07,0.9055049,1,13.0,test,31
0.41677532,1.6037651,-1.6041614,2.64,6.578468,224,224,3,2026-05-06T04:03:59.308892,6.0163918,1.285334,6.3645695e-07,0.834403,1,13.0,test,32
0.37234864,1.6075283,-1.6212862,2.64,7.3115625,224,224,3,2026-05-06T04:03:59.308892,6.689139,1.6518534,6.3645695e-07,1.106721,1,13.0,test,32
0.43218547,1.5894207,-1.6041614,2.64,6.5728736,224,224,3,2026-05-06T04:03:59.364865,5.977238,1.4744495,6.3645695e-07,0.920731,1,13.0,test,33
0.40578383,1.5951344,-1.5870366,2.64,8.718496,224,224,3,2026-05-06T04:03:59.364865,8.338286,1.4301894,6.3645695e-07,1.0243969,1,13.0,test,33
0.38166752,1.5983,-1.6041614,2.64,7.2264686,224,224,3,2026-05-06T04:03:59.420695,6.920231,1.4276593,6.3645695e-07,0.915602,1,13.0,test,34
0.399119,1.6117392,-1.6041614,2.64,6.661142,224,224,3,2026-05-06T04:03:59.420695,6.3688793,1.4083477,6.3645695e-07,0.94614303,1,13.0,test,34
0.39064938,1.6000974,-1.6041614,2.64,6.9111576,224,224,3,2026-05-06T04:03:59.475674,6.535312,1.4639106,6.3645695e-07,0.98930097,1,13.0,test,35
0.392787,1.5988426,-1.5870366,2.64,8.187981,224,224,3,2026-05-06T04:03:59.475674,7.687409,1.38611,6.3645695e-07,0.9054009,1,13.0,test,35
0.41970783,1.5941705,-1.5870366,2.64,7.9589877,224,224,3,2026-05-06T04:03:59.529234,7.625824,1.5136682,6.3645695e-07,1.0182884,1,13.0,test,36
0.41053742,1.5912801,-1.6041614,2.64,8.609844,224,224,3,2026-05-06T04:03:59.529234,7.7340937,1.5205649,6.3645695e-07,1.0647188,1,13.0,test,36
0.40578884,1.5955461,-1.6041614,2.64,6.1186914,224,224,3,2026-05-06T04:03:59.584597,5.801826,1.2886511,6.3645695e-07,0.8049667,1,13.0,test,37
0.37506133,1.6091071,-1.6212862,2.64,5.3282585,224,224,3,2026-05-06T04:03:59.584597,4.825986,1.4061579,6.3645695e-07,0.90394163,1,13.0,test,37
0.36410248,1.6096313,-1.6041614,2.64,7.4798164,224,224,3,2026-05-06T04:03:59.639669,7.020286,1.3920313,6.3645695e-07,0.87616843,1,13.0,test,38
0.4113905,1.5847278,-1.6041614,2.64,5.19966,224,224,3,2026-05-06T04:03:59.639669,5.0022388,1.2595532,6.3645695e-07,0.8003193,1,13.0,test,38
0.40383244,1.5919735,-1.5699118,2.64,4.994068,224,224,3,2026-05-06T04:03:59.694126,4.612242,1.4118562,6.3645695e-07,0.9145491,1,13.0,test,39
0.37253517,1.606968,-1.6041614,2.64,11.304616,224,224,3,2026-05-06T04:03:59.694126,10.543763,1.37482,6.3645695e-07,0.97609055,1,13.0,test,39
0.39694914,1.5901128,-1.6041614,2.64,5.640068,224,224,3,2026-05-06T04:03:59.747992,5.407698,1.3954518,6.3645695e-07,0.9381065,1,13.0,test,40
0.38311496,1.6058704,-1.6041614,2.64,4.72263,224,224,3,2026-05-06T04:03:59.747992,4.5003104,1.3914846,6.3645695e-07,0.8386548,1,13.0,test,40
0.38825506,1.610174,-1.6212862,2.64,5.368691,224,224,3,2026-05-06T04:03:59.802008,5.191766,1.366337,6.3645695e-07,0.89375573,1,13.0,test,41
0.40522474,1.5959584,-1.6041614,2.64,5.2824006,224,224,3,2026-05-06T04:03:59.802008,4.873685,1.2971284,6.3645695e-07,0.8464681,1,13.0,test,41
0.3946848,1.6068218,-1.6041614,2.64,8.554784,224,224,3,2026-05-06T04:03:59.857073,7.704077,1.4884028,6.3645695e-07,1.0242083,1,13.0,test,42
0.38996443,1.5968301,-1.5870366,2.64,5.400943,224,224,3,2026-05-06T04:03:59.857073,5.0991087,1.3896917,6.3645695e-07,0.8898954,1,13.0,test,42
0.398,1.5950224,-1.5870366,2.64,7.4594855,224,224,3,2026-05-06T04:03:59.913735,7.210782,1.439112,6.3645695e-07,1.0923709,1,13.0,test,43
0.3475627,1.6247005,-1.6212862,2.64,7.050393,224,224,3,2026-05-06T04:03:59.913735,6.6750546,1.6150804,6.3645695e-07,1.0682464,1,13.0,test,43
0.37040317,1.6149037,-1.6041614,2.64,5.2171574,224,224,3,2026-05-06T04:03:59.966756,4.849761,1.3359659,6.3645695e-07,0.8908247,1,13.0,test,44
0.3900539,1.5957072,-1.6041614,2.64,6.7963486,224,224,3,2026-05-06T04:03:59.966756,6.15636,1.5345805,6.3645695e-07,1.0663154,1,13.0,test,44
0.3731444,1.6190225,-1.6041614,2.64,8.0552225,224,224,3,2026-05-06T04:04:00.020613,7.6704836,1.5174272,6.3645695e-07,1.0276552,1,13.0,test,45
0.405808,1.5924315,-1.6041614,2.64,5.225698,224,224,3,2026-05-06T04:04:00.020613,4.890866,1.3375629,6.3645695e-07,0.8355508,1,13.0,test,45
0.35018268,1.6268373,-1.6041614,2.64,5.9882646,224,224,3,2026-05-06T04:04:00.076170,5.718583,1.3092576,6.3645695e-07,0.8713855,1,13.0,test,46
0.38330752,1.603043,-1.6041614,2.64,4.3433695,224,224,3,2026-05-06T04:04:00.076170,4.1804376,1.278184,6.3645695e-07,0.8031953,1,13.0,test,46
0.44307294,1.5956559,-1.5870366,2.64,5.6104026,224,224,3,2026-05-06T04:04:00.129219,5.553323,1.5904293,6.3645695e-07,1.0104092,1,13.0,test,47
0.41031858,1.5957656,-1.6041614,2.64,7.7820516,224,224,3,2026-05-06T04:04:00.129219,7.383076,1.2851453,6.3645695e-07,0.8689542,1,13.0,test,47
0.41954333,1.6020936,-1.6041614,2.64,8.686957,224,224,3,2026-05-06T04:04:00.182334,8.081443,1.3010945,6.3645695e-07,0.8455699,1,13.0,test,48
0.36032915,1.6234859,-1.6212862,2.64,5.8963885,224,224,3,2026-05-06T04:04:00.182334,5.623955,1.4625514,6.3645695e-07,0.94119036,1,13.0,test,48
0.36102527,1.6191461,-1.6041614,2.64,6.702042,224,224,3,2026-05-06T04:04:00.235834,6.3554525,1.5530086,6.3645695e-07,1.0835267,1,13.0,test,49
0.39765552,1.5921974,-1.5870366,2.64,6.390222,224,224,3,2026-05-06T04:04:00.235834,6.109231,1.5675694,6.3645695e-07,1.0237539,1,13.0,test,49
